iter	Passed	Remaining
691	7686	8975
692	7697	8963
693	7708	8952
694	7719	8940
695	7729	8928
696	7740	8917
697	7750	8905
698	7762	8894
699	7773	8883
700	7783	8872
701	7794	8860
702	7805	8849
703	7816	8838
704	7827	8826
705	7838	8815
706	7849	8804
707	7859	8792
708	7870	8781
709	7881	8769
710	7892	8758
711	7903	8747
712	7914	8735
713	7925	8724
714	7936	8713
715	7947	8701
716	7958	8691
717	7970	8680
718	7981	8669
719	7992	8658
720	8003	8647
721	8014	8636
722	8025	8624
723	8035	8612
724	8046	8601
725	8057	8589
726	8068	8578
727	8079	8567
728	8090	8556
729	8101	8545
730	8112	8534
731	8122	8522
732	8133	8510
733	8144	8499
734	8155	8488
735	8166	8477
736	8177	8465
737	8188	8454
738	8198	8442
739	8209	8431
740	8221	8420
741	8232	8410
742	8244	8399
743	8254	8387
744	8264	8375
745	8275	8363
746	8286	8352
747	8296	8341
748	8307	8330
749	8318	8318
750	8329	8307
751	8339	8295
752	8350	8284
753	8361	8272
754	8371	8260
755	8381	8248
756	8392	8237
757	8403	8226
758	8414	8214
759	8425	8203
760	8436	8192
761	8447	8181
762	8458	8169
763	8468	8158
764	8478	8146
765	8489	8134
766	8499	8123
767	8510	8111
768	8521	8100
769	8532	8089
770	8542	8077
771	8553	8065
772	8564	8054
773	8575	8043
774	8586	8032
775	8597	8020
776	8607	8009
777	8618	7997
778	8628	7986
779	8639	7974
780	8650	7963
781	8662	7953
782	8673	7942
783	8683	7930
784	8694	7919
785	8705	7907
786	8715	7896
787	8726	7884
788	8736	7873
789	8747	7861
790	8759	7851
791	8770	7839
792	8780	7828
793	8791	7816
794	8802	7806
795	8813	7794
796	8824	7783
797	8834	7772
798	8846	7761
799	8857	7749
800	8868	7738
801	8879	7727
802	8890	7716
803	8901	7705
804	8912	7694
805	8923	7683
806	8934	7672
807	8945	7661
808	8956	7650
809	8967	7638
810	8978	7627
811	8988	7616
812	9000	7605
813	9011	7594
814	9022	7583
815	9033	7572
816	9045	7561
817	9056	7550
818	9067	7539
819	9078	7528
820	9089	7517
821	9101	7506
822	9111	7495
823	9122	7484
824	9132	7472
825	9143	7461
826	9154	7450
827	9165	7439
828	9177	7428
829	9188	7417
830	9199	7406
831	9210	7394
832	9221	7384
833	9232	7372
834	9258	7373
835	9269	7362
836	9280	7351
837	9292	7340
838	9303	7329
839	9312	7316
840	9322	7305
841	9333	7293
842	9344	7282
843	9356	7272
844	9366	7260
845	9377	7249
846	9388	7237
847	9399	7226
848	9410	7215
849	9421	7204
850	9433	7194
851	9444	7183
852	9454	7171
853	9465	7160
854	9476	7149
855	9487	7138
856	9498	7126
857	9509	7115
858	9520	7104
859	9531	7093
860	9542	7082
861	9553	7070
862	9564	7060
863	9575	7048
864	9586	7037
865	9597	7026
866	9608	7015
867	9619	7004
868	9630	6992
869	9641	6981
870	9652	6970
871	9663	6959
872	9674	6948
873	9686	6937
874	9696	6926
875	9707	6914
876	9718	6903
877	9731	6893
878	9742	6883
879	9753	6871
880	9764	6860
881	9775	6849
882	9785	6837
883	9796	6826
884	9807	6815
885	9819	6804
886	9830	6793
887	9841	6782
888	9853	6772
889	9864	6761
890	9875	6749
891	9886	6738
892	9897	6727
893	9907	6715
894	9917	6704
895	9928	6692
896	9939	6681
897	9950	6670
898	9960	6658
899	9971	6647
900	9983	6636
901	9993	6625
902	10004	6614
903	10015	6603
904	10026	6591
905	10037	6580
906	10047	6569
907	10058	6557
908	10070	6547
909	10080	6535
910	10091	6524
911	10103	6514
912	10114	6503
913	10125	6491
914	10136	6480
915	10146	6469
916	10157	6458
917	10168	6446
918	10179	6435
919	10190	6424
920	10201	6413
921	10212	6402
922	10223	6391
923	10234	6379
924	10244	6367
925	10254	6356
926	10265	6345
927	10276	6334
928	10287	6323
929	10298	6311
930	10309	6300
931	10320	6289
932	10329	6277
933	10340	6266
934	10351	6255
935	10362	6244
936	10373	6232
937	10384	6221
938	10395	6210
939	10406	6199
940	10417	6188
941	10429	6177
942	10439	6166
943	10451	6155
944	10461	6144
945	10472	6133
946	10484	6122
947	10496	6111
948	10507	6100
949	10518	6089
950	10529	6078
951	10540	6067
952	10551	6056
953	10561	6044
954	10572	6033
955	10583	6022
956	10594	6011
957	10605	6000
958	10616	5989
959	10627	5977
960	10637	5966
961	10649	5955
962	10659	5944
963	10670	5932
964	10681	5921
965	10692	5910
966	10703	5899
967	10714	5888
968	10725	5877
969	10736	5866
970	10747	5855
971	10758	5844
972	10769	5832
973	10780	5821
974	10790	5810
975	10802	5799
976	10813	5788
977	10823	5777
978	10834	5765
979	10846	5755
980	10857	5744
981	10867	5732
982	10878	5721
983	10890	5710
984	10900	5699
985	10911	5688
986	10922	5677
987	10932	5665
988	10943	5654
989	10953	5642
990	10965	5631
991	10977	5621
992	10987	5610
993	10999	5599
994	11010	5588
995	11020	5576
996	11032	5565
997	11042	5554
998	11055	5544
999	11067	5533
1000	11077	5522
1001	11088	5511
1002	11099	5499
1003	11109	5488
1004	11120	5477
1005	11131	5465
1006	11141	5454
1007	11152	5443
1008	11162	5431
1009	11172	5420
1010	11183	5409
1011	11194	5398
1012	11205	5386
1013	11215	5375
1014	11227	5364
1015	11238	5353
1016	11248	5342
1017	11259	5331
1018	11269	5319
1019	11280	5308
1020	11291	5297
1021	11302	5286
1022	11314	5275
1023	11325	5264
1024	11336	5253
1025	11346	5242
1026	11357	5231
1027	11368	5219
1028	11380	5209
1029	11391	5198
1030	11403	5187
1031	11414	5176
1032	11425	5165
1033	11436	5154
1034	11447	5142
1035	11458	5131
1036	11469	5120
1037	11480	5109
1038	11490	5098
1039	11501	5087
1040	11512	5076
1041	11523	5065
1042	11534	5053
1043	11545	5043
1044	11556	5031
1045	11566	5020
1046	11577	5009
1047	11588	4998
1048	11600	4987
1049	11611	4976
1050	11621	4964
1051	11631	4953
1052	11642	4942
1053	11653	4931
1054	11664	4919
1055	11674	4908
1056	11686	4897
1057	11697	4886
1058	11708	4875
1059	11719	4864
1060	11734	4855
1061	11745	4844
1062	11758	4833
1063	11768	4822
1064	11779	4811
1065	11790	4800
1066	11801	4789
1067	11812	4777
1068	11822	4766
1069	11833	4755
1070	11844	4744
1071	11856	4733
1072	11866	4722
1073	11877	4711
1074	11888	4700
1075	11899	4689
1076	11910	4678
1077	11922	4667
1078	11933	4656
1079	11943	4644
1080	11954	4633
1081	11965	4622
1082	11976	4611
1083	11987	4600
1084	11998	4589
1085	12010	4578
1086	12022	4567
1087	12032	4556
1088	12043	4545
1089	12054	4534
1090	12064	4522
1091	12075	4511
1092	12085	4500
1093	12097	4489
1094	12108	4478
1095	12120	4467
1096	12131	4456
1097	12143	4445
1098	12154	4434
1099	12165	4423
1100	12176	4412
1101	12186	4401
1102	12196	4389
1103	12208	4378
1104	12218	4367
1105	12229	4356
1106	12239	4345
1107	12250	4334
1108	12261	4322
1109	12271	4311
1110	12282	4300
1111	12294	4289
1112	12305	4278
1113	12316	4267
1114	12327	4256
1115	12338	4245
1116	12349	4234
1117	12360	4223
1118	12371	4212
1119	12382	4201
1120	12392	4189
1121	12403	4178
1122	12414	4167
1123	12425	4156
1124	12436	4145
1125	12447	4134
1126	12458	4123
1127	12468	4111
1128	12479	4100
1129	12490	4089
1130	12500	4078
1131	12511	4067
1132	12522	4056
1133	12534	4045
1134	12544	4034
1135	12556	4023
1136	12567	4012
1137	12577	4001
1138	12588	3989
1139	12600	3979
1140	12611	3968
1141	12621	3956
1142	12632	3945
1143	12643	3934
1144	12653	3923
1145	12665	3912
1146	12675	3901
1147	12687	3890
1148	12697	3878
1149	12708	3867
1150	12719	3856
1151	12730	3845
1152	12741	3834
1153	12752	3823
1154	12762	3812
1155	12773	3801
1156	12784	3789
1157	12795	3778
1158	12806	3767
1159	12816	3756
1160	12827	3745
1161	12838	3734
1162	12849	3723
1163	12860	3712
1164	12871	3701
1165	12882	3690
1166	12893	3679
1167	12904	3668
1168	12916	3657
1169	12927	3646
1170	12938	3635
1171	12949	3624
1172	12960	3612
1173	12970	3601
1174	12982	3590
1175	12993	3579
1176	13004	3568
1177	13015	3557
1178	13026	3546
1179	13036	3535
1180	13047	3524
1181	13057	3513
1182	13069	3502
1183	13080	3490
1184	13091	3479
1185	13102	3468
1186	13113	3457
1187	13124	3446
1188	13135	3435
1189	13146	3424
1190	13157	3413
1191	13169	3402
1192	13180	3391
1193	13190	3380
1194	13201	3369
1195	13213	3358
1196	13224	3347
1197	13234	3336
1198	13245	3325
1199	13255	3313
1200	13267	3302
1201	13278	3292
1202	13289	3280
1203	13300	3269
1204	13311	3258
1205	13322	3247
1206	13333	3236
1207	13343	3225
1208	13354	3214
1209	13365	3203
1210	13376	3192
1211	13387	3181
1212	13398	3170
1213	13409	3159
1214	13420	3148
1215	13431	3136
1216	13441	3125
1217	13452	3114
1218	13463	3103
1219	13474	3092
1220	13485	3081
1221	13497	3070
1222	13508	3059
1223	13519	3048
1224	13530	3037
1225	13541	3026
1226	13552	3015
1227	13564	3004
1228	13575	2993
1229	13586	2982
1230	13598	2971
1231	13608	2960
1232	13619	2949
1233	13629	2938
1234	13640	2926
1235	13652	2915
1236	13662	2904
